,Año,Day,Tiempo,PRN,S4,Az,Elv
187,21,095,1074,17,0.08,78.9,28.7
188,21,095,1074,19,0.08,53.9,31.7
189,21,095,1074,24,0.3,249.9,16.4
190,21,095,1074,28,0.1,148.0,35.6
191,21,095,1134,2,0.17,346.7,19.1
192,21,095,1134,5,0.06,262.2,64.5
193,21,095,1134,12,0.09,322.3,24.5
194,21,095,1134,13,0.09,181.7,32.8
195,21,095,1134,14,0.13,148.0,27.3
196,21,095,1134,15,0.15,211.0,13.7
197,21,095,1134,17,0.09,79.4,28.8
198,21,095,1134,19,0.08,54.5,31.9
199,21,095,1134,24,0.28,249.4,16.5
200,21,095,1134,28,0.11,148.1,35.1
201,21,095,1194,2,0.16,347.0,19.0
202,21,095,1194,5,0.06,263.4,64.6
203,21,095,1194,12,0.09,322.1,24.9
204,21,095,1194,13,0.09,181.3,33.1
205,21,095,1194,14,0.1,148.1,26.9
206,21,095,1194,15,0.13,210.8,14.0
207,21,095,1194,17,0.09,80.0,28.8
208,21,095,1194,19,0.12,55.0,32.0
209,21,095,1194,24,0.19,249.0,16.5
210,21,095,1194,28,0.12,148.3,34.7
211,21,095,1254,2,0.14,347.4,19.0
212,21,095,1254,5,0.05,264.6,64.7
213,21,095,1254,12,0.1,321.8,25.2
214,21,095,1254,13,0.1,180.9,33.3
215,21,095,1254,14,0.09,148.2,26.5
216,21,095,1254,15,0.25,210.6,14.3
217,21,095,1254,17,0.09,80.5,28.9
218,21,095,1254,19,0.1,55.5,32.2
219,21,095,1254,24,0.25,248.6,16.5
220,21,095,1254,28,0.09,148.4,34.3
221,21,095,1314,2,0.15,347.8,18.9
222,21,095,1314,5,0.06,265.9,64.7
223,21,095,1314,12,0.11,321.6,25.6
224,21,095,1314,13,0.1,180.5,33.6
225,21,095,1314,14,0.11,148.3,26.1
226,21,095,1314,15,0.18,210.4,14.6
227,21,095,1314,17,0.08,81.1,28.9
228,21,095,1314,19,0.14,56.1,32.3
229,21,095,1314,24,0.2,248.1,16.6
